Aire;Type;Localisation;Équipements aire de repos;Carburant;Restauration;Hôtellerie;Autres;Commentaire;Site internet
;;Autoroute allemande 5;;;;;;;
Pratteln-Süd;Ravitaillement;Km 12;Oui;BP;Autogrill, Burger King, Coffee & Friends, Mercato, Mix Shop, Passaggio Restaurant;/;Boutiques, distributeur de billets, bureau de change, douches, WIFI gratuit, aire de jeux, nurserie, vente de Vignettes;Accès PMR, aire accessible dans les deux sens de circulation par une passerelle piétonne.;Restoroute Pratteln-Süd
Sonnenberg-West;Repos;Km 23;Oui;/;/;/;/;/;/
Mühlematt-West;Repos;Km 28;Oui;/;/;/;/;/;/
Teufengraben;Repos;Km 40;Oui;/;Autogrill;/;WIFI gratuit, nurserie;Accès PMR, parcage possédant un snack et un kiosque.;Snack Teufengraben
Gunzgen-Süd;Ravitaillement;Km 46;Oui;BP;Marché Restaurant;/;Distributeur de billets, boutiques, Internet, WIFI gratuit, aire de jeux;Accès PMR;Restoroute Gunzgen-Süd
Knutwil-Süd;Repos;Km 71;Oui;/;/;/;/;/;/
Inseli;Repos;Km 79;Oui;/;/;/;/;Lac de Sempach;/
Neuenkirch-West;Ravitaillement;Km 86;Oui;Avia;Marché Restaurant;Holiday Inn Express;Distributeur de billets, douches, WIFI gratuit, boutiques, aire de jeux, nurserie;Accès PMR;Restoroute Neuenkirch-West
Gotthard-West;Ravitaillement;Km 139;Oui;Esso;My Stop;/;Boutiques, Internet, WIFI gratuit;Aire accessible dans les deux sens de circulation par une passerelle piétonne, aire de pique-nique et de repos;Restoroute Gotthard
Amsteg;Repos;Km 148;Oui;/;/;/;/;/;/
Wiler;Repos;Km 156;Oui;/;/;/;/;/;/
Wassen;Repos;Km 158;Oui;/;/;/;/;/;/
San Gottardo-Sud Ambri-Piotta;Ravitaillement;Km 185;Oui;Eni;San Gottardo Ristorante;/;/;/;/
Lavorgo;Repos;Km 201;Oui;/;/;/;/;/;/
Bodio/Personico;Repos;Km 212;Oui;/;/;/;/;/;/
Moleno-Sud;Repos;Km 225;Oui;/;/;/;/;/;/
Bellinzona-Nord;Ravitaillement;Km 233;Oui;Shell;Marché Restaurant;/;Distributeur de billets, boutiques, WIFI gratuit, aire de jeux, nurserie;Accès PMR;Restoroute Bellinzona-Nord
Sasso/Cadenazzo-Nord;Repos;Km 243;Oui;/;/;/;/;/;/
Agno/Muzzano-Sud;Repos;Km 263;Oui;/;/;/;/;/;/
Riva San Vitale-Nord;Repos;Km 278;Oui;/;/;/;/;/;/
Coldrerio-Ovest;Ravitaillement;Km 283;Oui;BP (+ GPL);Easy Stop;/;Boutiques, WIFI gratuit;/;Restoroute Coldrerio-Ovest
