Aire;Type;Localisation;Équipements aire de repos;Carburant;Restauration;Hôtellerie;Autres;Commentaire;Site internet
Coldrerio-Est;Ravitaillement;Km 284;Oui;BP (+ GPL);Easy Stop;/;Boutiques, WIFI gratuit;/;Restoroute Coldrerio-Est
Riva San Vitale-Sud;Repos;Km 278;Oui;/;/;/;/;/;/
Agno/Muzzano-Nord;Repos;Km 263;Oui;/;/;/;/;/;/
Sasso/Robasacco-Sud;Repos;Km 245;Oui;/;/;/;/;/;/
Bellinzona-Sud;Ravitaillement;Km 238;Oui;Shell;Marché Restaurant;Hôtel Mövenpick Albergo Benjaminn;Distributeur de billets, boutiques, WIFI gratuit, aire de jeux, nurserie;Accès PMR;Restoroute Bellinzona-Sud Hôtel Benjaminn
Moleno-Nord;Repos;Km 225;Oui;/;/;/;/;/;/
Giornico/Personico;Repos;Km 209;Oui;/;/;/;/;/;/
Lavorgo;Repos;Km 201;Oui;/;/;/;/;/;/
San Gottardo-Sud Stalvedro;Ravitaillement;Km 183;Oui;BP;Restoroute San Gottardo-Sud Stalvedro;/;Distributeur de billets, douches, boutiques, Internet,;Accès PMR, aire de repos;Restoroute San Gottardo-Sud Stalvedro
Wiler;Repos;Km 156;Oui;/;/;/;/;/;/
Erstfeld;Repos;Km 144;Oui;/;/;/;/;/;/
Gotthard-Ost;Ravitaillement;Km 139;Oui;Eni;My Stop;/;Boutiques, Internet, WIFI gratuit;Aire accessible dans les deux sens de circulation par une passerelle piétonne, aire de pique-nique et de repos;Restoroute Gotthard
Neuenkirch-Ost;Ravitaillement;Km 86;Oui;Avia;Marché Restaurant;/;Distributeur de billets, douches, WIFI gratuit, boutiques, aire de jeux, nurserie;Accès PMR;Restoroute Neuenkirch-Ost
Kirchbühl;Repos;Km 81;Oui;/;/;/;/;/;/
Knutwil-Nord;Repos;Km 70;Oui;/;/;/;/;/;/
Gunzgen-Nord;Ravitaillement;Km 45;Oui;Migrol;Gunzgen Nord Raststätte;/;Boutiques, douches, nurserie, aire de pique-nique;Accès PMR;Restoroute Gunzgen-Nord
Eggberg;Repos;Km 39;Oui;/;/;/;/;/;/
Mühlematt-Ost;Repos;Km 28;Oui;/;/;/;/;/;/
Sonnenberg-Ost;Repos;Km 23;Oui;/;/;/;/;/;/
Pratteln-Nord;Ravitaillement;Km 12;Oui;BP;Autogrill, Burger King, Coffee & Friends, Mercato, Mix Shop, Passaggio Restaurant;/;Boutiques, distributeur de billets, bureau de change, douches, WIFI gratuit, aire de jeux, nurserie, vente de Vignettes;Accès PMR, aire accessible dans les deux sens de circulation par une passerelle piétonne.;Restoroute Pratteln-Nord
;;de ;;;;;;;
;;Autoroute allemande 5;;;;;;;
