scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A2_sens_minus,0,A2,-1,0,62.18394101607285,0.18628685066824582,333.80746302279204,18,Sonnenberg-Ost,23.0,1,160.8,16,0.0,160.8,170.8,0,268.0,23.0,49.92487597908988,12.259065036982967,4.284597565369654,100.0,18,18,1,0,0
A2_sens_minus,1,A2,-1,1,13.502025891119729,0.24331646641626134,55.491624097568106,4,Bellinzona-Sud,238.0,4,32.8,3,0.0,32.8,42.8,0,53.0,238.0,12.895772720061851,0.6062531710578778,57.9093190070702,100.0,4,4,1,0,0
A2_sens_minus,2,A2,-1,2,11.602366949937348,0.24694851310441404,46.98293909156549,3,Sasso/Robasacco-Sud,245.0,1,29.6,2,0.0,29.6,39.6,0,46.0,245.0,11.359631602803045,0.24273534713430323,60.50238571058144,100.0,3,3,1,0,0
A2_sens_minus,3,A2,-1,3,77.1370066008824,0.17654224964236465,436.9322740428698,18,Sonnenberg-Ost,23.0,1,163.8,16,7.0,170.8,180.8,0,268.0,23.0,47.31332290415372,29.82368369672868,4.0604717417743865,100.0,18,18,1,0,0
A2_sens_minus,4,A2,-1,4,56.97144380704468,0.22306887180473517,255.39844867694052,16,Eggberg,39.0,1,155.2,15,0.0,155.2,165.2,0,252.0,39.0,56.213355694793265,0.7580881122514143,8.699686000384672,100.0,16,16,1,0,0
A2_sens_minus,5,A2,-1,5,27.976418416289953,0.17019004054292372,164.38340532173507,11,Gotthard-Ost,139.0,10,96.2,9,0.0,96.2,106.2,0,152.0,139.0,25.868886162524404,2.107532253765548,23.6564156354664,100.0,11,11,1,0,0
A2_sens_minus,6,A2,-1,6,70.14338174548924,0.1718419216511146,408.18550602512005,18,Sonnenberg-Ost,23.0,1,166.8,16,14.0,180.8,190.8,0,268.0,23.0,46.05363500249871,24.089746742990528,3.9523641979756357,100.0,18,18,1,0,0
A2_sens_minus,7,A2,-1,7,31.095375798269977,0.22726449358666348,136.82461042429526,9,Wiler,156.0,1,88.0,8,0.0,88.0,98.0,0,135.0,156.0,30.68070663419957,0.414669164070407,35.4532609995195,100.0,9,9,1,0,0
A2_sens_minus,8,A2,-1,8,43.59823277730144,0.24452157625467863,178.30014612654142,11,Gotthard-Ost,139.0,10,99.2,9,0.0,99.2,109.2,1,152.0,139.0,37.16727959071115,6.430953186590287,33.98849909940033,100.0,11,11,1,0,0
A2_sens_minus,9,A2,-1,9,46.08251096008871,0.1995970754399748,230.87768625120557,14,Knutwil-Nord,70.0,1,141.6,14,0.0,141.6,151.6,0,221.0,70.0,44.11095367223443,1.9715572878542815,13.971795280798235,100.0,14,14,1,0,0
