scenario,highway,sens,station_id,station_name,pk,chargers,data_status,assigned_cars,total_waiting_time_min,average_waiting_time_min,max_waiting_time_min
A2_sens_minus,A2,-1,0,Coldrerio-Est,284.0,5,Confirmed,35,420.2634880803011,12.007528230865745,14.993726474278546
A2_sens_minus,A2,-1,1,Riva San Vitale-Sud,278.0,1,Unknown,7,84.73023839397737,12.104319770568196,14.993726474278532
A2_sens_minus,A2,-1,2,Agno/Muzzano-Nord,263.0,1,Unknown,7,84.7302383939774,12.1043197705682,14.993726474278546
A2_sens_minus,A2,-1,3,Sasso/Robasacco-Sud,245.0,1,Unknown,8,97.89209535759102,12.236511919698877,14.99372647427856
A2_sens_minus,A2,-1,4,Bellinzona-Sud,238.0,4,Confirmed,32,387.80426599749063,12.118883312421582,14.993726474278546
A2_sens_minus,A2,-1,5,Moleno-Nord,225.0,1,Unknown,8,96.5370138017566,12.067126725219575,14.96863237139273
A2_sens_minus,A2,-1,6,Giornico/Personico,209.0,1,Unknown,8,99.3977415307402,12.424717691342526,14.981179422835623
A2_sens_minus,A2,-1,7,Lavorgo,201.0,1,Uncertain,8,98.79548306148064,12.34943538268508,14.981179422835652
A2_sens_minus,A2,-1,8,San Gottardo-Sud Stalvedro,183.0,5,Confirmed,40,489.9121706398996,12.247804265997491,14.99372647427856
A2_sens_minus,A2,-1,9,Wiler,156.0,1,Unknown,8,98.11794228356332,12.264742785445415,14.981179422835623
A2_sens_minus,A2,-1,10,Erstfeld,144.0,1,Unknown,8,99.54830614805516,12.443538268506895,14.981179422835623
A2_sens_minus,A2,-1,11,Gotthard-Ost,139.0,10,Confirmed,80,970.4893350062737,12.131116687578421,14.99372647427856
A2_sens_minus,A2,-1,12,Neuenkirch-Ost,86.0,4,Confirmed,32,393.6762860727728,12.30238393977415,14.99372647427856
A2_sens_minus,A2,-1,13,Kirchbühl,81.0,1,Unknown,8,98.94604767879552,12.36825595984944,14.99372647427856
A2_sens_minus,A2,-1,14,Knutwil-Nord,70.0,1,Unknown,8,99.17189460476783,12.396486825595979,14.993726474278532
A2_sens_minus,A2,-1,15,Gunzgen-Nord,45.0,1,Unknown,8,98.79548306148067,12.349435382685083,14.981179422835652
A2_sens_minus,A2,-1,16,Eggberg,39.0,1,Unknown,8,98.94604767879542,12.368255959849428,14.993726474278532
A2_sens_minus,A2,-1,17,Mühlematt-Ost,28.0,1,Unknown,8,98.87076537013795,12.358845671267243,14.968632371392715
A2_sens_minus,A2,-1,18,Sonnenberg-Ost,23.0,1,Unknown,8,99.02132998745293,12.377666248431616,14.968632371392715
