scenario,highway,sens,station_id,station_name,pk,chargers,data_status,assigned_cars,total_waiting_time_min,average_waiting_time_min,max_waiting_time_min
A2_sens_plus,A2,1,0,Sonnenberg-West,23.0,5,Confirmed,30,333.53826850690075,11.117942283563359,14.993726474278546
A2_sens_plus,A2,1,1,Mühlematt-West,28.0,5,Confirmed,30,341.6687578419072,11.38895859473024,14.993726474278546
A2_sens_plus,A2,1,2,Teufengraben,40.0,11,Confirmed,78,883.6135508155584,11.328378856609723,14.993726474278546
A2_sens_plus,A2,1,3,Gunzgen-Süd,46.0,6,Confirmed,43,476.9761606022586,11.092468851215315,14.99372647427856
A2_sens_plus,A2,1,4,Knutwil-Süd,71.0,7,Confirmed,54,612.6223337515684,11.34485803243645,14.99372647427856
A2_sens_plus,A2,1,5,Inseli,79.0,1,Unknown,8,99.1718946047678,12.396486825595975,14.993726474278532
A2_sens_plus,A2,1,6,Neuenkirch-West,86.0,3,Confirmed,24,293.07402760351323,12.211417816813052,14.99372647427856
A2_sens_plus,A2,1,7,Gotthard-West,139.0,10,Confirmed,70,818.2434127979927,11.689191611399897,14.99372647427856
A2_sens_plus,A2,1,8,Amsteg,148.0,1,Unknown,8,95.18193224592225,11.897741530740282,14.855708908406527
A2_sens_plus,A2,1,9,Wiler,156.0,1,Unknown,8,97.06398996235887,12.13299874529486,14.99372647427856
A2_sens_plus,A2,1,10,Wassen,158.0,1,Unknown,8,96.98870765370138,12.123588456712673,14.981179422835623
A2_sens_plus,A2,1,11,San Gottardo-Sud Ambri-Piotta,185.0,6,Confirmed,44,510.46424090338763,11.601460020531537,14.993726474278532
A2_sens_plus,A2,1,12,Lavorgo,201.0,1,Uncertain,8,97.28983688833135,12.161229611041419,14.981179422835652
A2_sens_plus,A2,1,13,Bodio/Personico,212.0,1,Present count unknown,8,95.55834378920949,11.944792973651186,14.943538268506899
A2_sens_plus,A2,1,14,Moleno-Sud,225.0,1,Unknown,8,96.0100376411543,12.001254705144287,14.993726474278532
A2_sens_plus,A2,1,15,Bellinzona-Nord,233.0,10,Confirmed,80,972.9736511919698,12.162170639899623,14.993726474278532
A2_sens_plus,A2,1,16,Sasso/Cadenazzo-Nord,243.0,1,Unknown,8,99.09661229611041,12.387076537013801,14.993726474278532
A2_sens_plus,A2,1,17,Agno/Muzzano-Sud,263.0,1,Unknown,8,97.36511919698873,12.170639899623591,14.943538268506899
A2_sens_plus,A2,1,18,Riva San Vitale-Nord,278.0,1,Unknown,8,98.94604767879548,12.368255959849435,14.943538268506899
A2_sens_plus,A2,1,19,Coldrerio-Ovest,283.0,7,Confirmed,56,673.8017565872019,12.032174224771463,14.993726474278532
