scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps
A8_sens_minus,0,A8,-1,0.0,55.85045255580045,0.18693717557301529,298.7658949302247,1,Därlingen,15.0,1,43.199999999999996,4,0.0,43.199999999999996,53.199999999999996,0,72.0,15.0,13.459476641257101,42.39097591454335,2.8040576335952294,100.0,1,1,1,0
A8_sens_minus,1,A8,-1,2.4,52.27929161361622,0.1653925134815046,316.0922493596572,1,Därlingen,15.0,1,45.599999999999994,4,7.600000000000001,53.199999999999996,63.199999999999996,0,72.0,15.0,11.908260970668332,40.37103064294789,2.480887702222569,100.0,1,1,1,0
A8_sens_minus,2,A8,-1,4.8,71.09201918415408,0.1606371312996854,442.5628035620511,0,Iseltwald-Süd,31.0,6,38.4,3,0.0,38.4,48.4,0,56.0,31.0,8.995679352782382,62.0963398313717,4.979751070290248,100.0,0,1,0,1
A8_sens_minus,3,A8,-1,7.2,74.93542136076856,0.16253895792597448,461.0305265701075,1,Därlingen,15.0,1,50.4,5,12.799999999999997,63.199999999999996,73.19999999999999,0,72.0,15.0,11.702804970670162,63.2326163900984,2.438084368889617,100.0,1,1,1,0
A8_sens_minus,4,A8,-1,9.6,50.818308416057896,0.22778102930891342,223.10158387746515,0,Iseltwald-Süd,31.0,6,43.2,4,0.0,43.2,53.2,1,56.0,31.0,12.755737641299152,38.06257077475874,7.061211908576316,100.0,0,1,0,1
A8_sens_minus,5,A8,-1,12.0,72.347173791823,0.16745759793203013,432.0327932876967,0,Iseltwald-Süd,31.0,6,45.6,4,0.0,45.6,55.6,2,56.0,31.0,9.377625484193688,62.96954830762931,5.191185535892934,100.0,0,1,0,1
A8_sens_minus,6,A8,-1,14.4,73.68906435680357,0.22097270600950947,333.4758653570201,0,Iseltwald-Süd,31.0,6,48.0,4,0.0,48.0,58.0,3,56.0,31.0,12.37447153653253,61.31459282027104,6.850153886294794,100.0,0,1,0,1
A8_sens_minus,7,A8,-1,16.8,57.58040034726942,0.22018759274537233,261.5061077208656,1,Därlingen,15.0,1,60.0,6,13.199999999999989,73.19999999999999,83.19999999999999,0,72.0,15.0,15.853506677666807,41.72689366960261,3.302813891180585,100.0,1,1,1,0
A8_sens_minus,8,A8,-1,19.2,42.68624375167551,0.20228866165125306,211.01649199334202,0,Iseltwald-Süd,31.0,6,52.8,5,0.0,52.8,62.8,4,56.0,31.0,11.32816505247017,31.358078699205343,6.270948511188845,100.0,0,1,0,1
A8_sens_minus,9,A8,-1,21.6,63.702115184383814,0.24603963570842421,258.9099719684014,0,Iseltwald-Süd,31.0,6,55.2,5,0.0,55.2,65.2,5,56.0,31.0,13.778219599671756,49.92389558471206,7.627228706961151,100.0,0,1,0,1
A8_sens_minus,10,A8,-1,24.0,60.197426388287,0.18733263115259044,321.3397795029827,0,Iseltwald-Süd,31.0,6,57.6,5,0.0,57.6,67.6,0,56.0,31.0,10.490627344545064,49.70679904374194,5.807311565730304,100.0,0,1,0,1
A8_sens_minus,11,A8,-1,26.4,77.20658845865398,0.15354424328946678,502.8295871249404,1,Därlingen,15.0,1,69.6,6,13.599999999999994,83.19999999999999,93.19999999999999,0,72.0,15.0,11.055185516841608,66.15140294181238,2.3031636493420016,100.0,1,1,1,0
A8_sens_minus,12,A8,-1,28.8,67.93307908102142,0.19954120798543812,340.4463657751283,0,Iseltwald-Süd,31.0,6,62.400000000000006,6,0.0,62.400000000000006,72.4,1,56.0,31.0,11.174307647184534,56.758771433836884,6.185777447548582,100.0,0,1,0,1
A8_sens_minus,13,A8,-1,31.2,52.321472651123685,0.1702529963659473,307.31601656315183,0,Iseltwald-Süd,31.0,6,64.8,6,0.0,64.8,74.8,2,56.0,31.0,9.534167796493048,42.787304854630634,5.277842887344366,100.0,0,1,0,1
A8_sens_minus,14,A8,-1,33.6,87.12527374871708,0.16243307595215475,536.3764321890951,0,Iseltwald-Süd,31.0,6,67.2,6,0.0,67.2,77.2,3,56.0,31.0,9.096252253320666,78.0290214953964,5.035425354516797,100.0,0,1,0,1
A8_sens_minus,15,A8,-1,36.0,47.5003365704311,0.2492493157583717,190.57358864117836,1,Därlingen,15.0,1,79.19999999999999,7,14.0,93.19999999999999,103.19999999999999,0,72.0,15.0,17.94595073460276,29.55438583582834,3.7387397363755754,100.0,1,1,1,0
A8_sens_minus,16,A8,-1,38.4,74.8884773145601,0.18584362242661445,402.9650107801354,0,Iseltwald-Süd,31.0,6,72.0,7,0.0,72.0,82.0,4,56.0,31.0,10.40724285589041,64.48123445866969,5.761152295225048,100.0,0,1,0,1
A8_sens_minus,17,A8,-1,40.8,79.22214962109632,0.219219624247771,361.38256277438103,0,Iseltwald-Süd,31.0,6,74.4,7,0.0,74.4,84.4,5,56.0,31.0,12.276298957875175,66.94585066322115,6.795808351680901,100.0,0,1,0,1
A8_sens_minus,18,A8,-1,43.2,60.387434612248036,0.17103198556896546,353.076849405446,0,Iseltwald-Süd,31.0,6,76.80000000000001,7,0.0,76.80000000000001,86.80000000000001,0,56.0,31.0,9.577791191862065,50.80964342038597,5.301991552637929,100.0,0,1,0,1
A8_sens_minus,19,A8,-1,45.6,13.752931502546426,0.15135702786030855,90.86417523499057,1,Därlingen,15.0,1,88.8,8,14.399999999999991,103.19999999999999,113.19999999999999,0,72.0,15.0,10.897706005942215,2.855225496604211,2.270355417904628,100.0,1,1,1,0
A8_sens_minus,20,A8,-1,48.0,14.390985359011825,0.2474761063325447,58.15100929248506,0,Iseltwald-Süd,31.0,6,81.6,8,0.0,81.6,91.6,1,56.0,31.0,13.858661954622502,0.5323234043893237,7.671759296308886,100.0,0,0,1,0
A8_sens_minus,21,A8,-1,50.4,19.590392714289003,0.22233167299890322,88.11336886933624,0,Iseltwald-Süd,31.0,6,84.0,8,0.0,84.0,94.0,2,56.0,31.0,12.45057368793858,7.139819026350423,6.892281862966,100.0,0,1,0,1
A8_sens_minus,22,A8,-1,52.8,66.18475728513116,0.2207152924720386,299.8648464447283,0,Iseltwald-Süd,31.0,6,86.4,8,0.0,86.4,96.4,3,56.0,31.0,12.360056378434162,53.82470090669699,6.842174066633197,100.0,0,1,0,1
A8_sens_minus,23,A8,-1,55.2,13.526046619041665,0.23184107478538085,58.34189058846864,0,Iseltwald-Süd,31.0,6,88.80000000000001,8,0.0,88.80000000000001,98.80000000000001,4,56.0,31.0,12.983100187981329,0.5429464310603365,7.1870733183468065,100.0,0,0,1,0
A8_sens_minus,24,A8,-1,57.6,66.01654304825769,0.18191302529322823,362.9016830534519,1,Därlingen,15.0,1,100.8,10,12.399999999999991,113.19999999999999,123.19999999999999,0,72.0,15.0,13.097737821112432,52.918805227145256,2.7286953793984234,100.0,1,1,1,0
A8_sens_minus,25,A8,-1,60.0,43.590034894870314,0.19363068654119722,225.1194563915158,0,Iseltwald-Süd,31.0,6,93.6,9,0.0,93.6,103.6,5,56.0,31.0,10.843318446307045,32.74671644856327,6.002551282777114,100.0,0,1,0,1
