car_id,highway,sens,entry_time_min,battery_pct,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,battery_slack_km,distance_to_station_km,distance_station_to_exit_km,waiting_time_min,charging_start_min,charging_end_min
0,A2,1,0,0.5548490743557977,221.93962974231906,2,Bellinzona-Nord,233.0,4,132.6,13,0.939629742319056,221.0,209.0,0.0,132.6,142.6
1,A2,1,1,0.31280286087671083,125.12114435068433,1,Neuenkirch-West,86.0,1,45.4,4,51.12114435068433,74.0,356.0,0.0,45.4,55.4
2,A2,1,2,0.6350812152451624,254.03248609806494,2,Bellinzona-Nord,233.0,4,134.6,13,33.032486098064936,221.0,209.0,0.0,134.6,144.6
3,A2,1,3,0.6693016489504184,267.72065958016736,2,Bellinzona-Nord,233.0,4,135.6,13,46.720659580167364,221.0,209.0,0.0,135.6,145.6
5,A2,1,5,0.26560768876478275,106.2430755059131,1,Neuenkirch-West,86.0,1,49.4,4,32.2430755059131,74.0,356.0,6.0,55.4,65.4
6,A2,1,6,0.5230112725701114,209.20450902804455,1,Neuenkirch-West,86.0,1,50.4,5,135.20450902804455,74.0,356.0,15.000000000000007,65.4,75.4
7,A2,1,7,0.4430763333781552,177.2305333512621,1,Neuenkirch-West,86.0,1,51.4,5,103.2305333512621,74.0,356.0,24.000000000000007,75.4,85.4
8,A2,1,8,0.496975791649228,198.7903166596912,1,Neuenkirch-West,86.0,1,52.4,5,124.7903166596912,74.0,356.0,33.00000000000001,85.4,95.4
9,A2,1,9,0.3464520930367556,138.58083721470226,1,Neuenkirch-West,86.0,1,53.4,5,64.58083721470226,74.0,356.0,42.00000000000001,95.4,105.4
10,A2,1,10,0.6582916354753091,263.31665419012364,2,Bellinzona-Nord,233.0,4,142.6,14,42.31665419012364,221.0,209.0,0.0,142.6,152.6
11,A2,1,11,0.6400025483772107,256.0010193508843,2,Bellinzona-Nord,233.0,4,143.6,14,35.00101935088429,221.0,209.0,0.0,143.6,153.6
12,A2,1,12,0.5118855255610189,204.75421022440753,1,Neuenkirch-West,86.0,1,56.4,5,130.75421022440753,74.0,356.0,49.00000000000001,105.4,115.4
13,A2,1,13,0.7029034172542459,281.16136690169833,2,Bellinzona-Nord,233.0,4,145.6,14,60.16136690169833,221.0,209.0,0.0,145.6,155.6
14,A2,1,14,0.5841516816053682,233.6606726421473,2,Bellinzona-Nord,233.0,4,146.6,14,12.66067264214729,221.0,209.0,0.0,146.6,156.6
15,A2,1,15,0.3453273566810171,138.13094267240683,1,Neuenkirch-West,86.0,1,59.4,5,64.13094267240683,74.0,356.0,56.00000000000001,115.4,125.4
16,A2,1,16,0.5663751411348498,226.5500564539399,2,Bellinzona-Nord,233.0,4,148.6,14,5.550056453939902,221.0,209.0,4.0,152.6,162.6
17,A2,1,17,0.32740113185078024,130.9604527403121,1,Neuenkirch-West,86.0,1,61.4,6,56.96045274031209,74.0,356.0,64.0,125.4,135.4
18,A2,1,18,0.6581210542353091,263.24842169412364,2,Bellinzona-Nord,233.0,4,150.6,15,42.248421694123635,221.0,209.0,3.0,153.6,163.6
19,A2,1,19,0.4910133360224745,196.4053344089898,1,Neuenkirch-West,86.0,1,63.4,6,122.4053344089898,74.0,356.0,72.0,135.4,145.4
20,A2,1,20,0.46672477456185313,186.68990982474125,1,Neuenkirch-West,86.0,1,64.4,6,112.68990982474125,74.0,356.0,81.0,145.4,155.4
21,A2,1,21,0.3774326820072906,150.97307280291622,1,Neuenkirch-West,86.0,1,65.4,6,76.97307280291622,74.0,356.0,90.0,155.4,165.4
22,A2,1,22,0.7200574409613254,288.0229763845302,2,Bellinzona-Nord,233.0,4,154.6,15,67.02297638453018,221.0,209.0,1.0,155.6,165.6
23,A2,1,23,0.47218469322761564,188.87387729104626,1,Neuenkirch-West,86.0,1,67.4,6,114.87387729104626,74.0,356.0,98.0,165.4,175.4
24,A2,1,24,0.4229009920106407,169.16039680425627,1,Neuenkirch-West,86.0,1,68.4,6,95.16039680425627,74.0,356.0,107.0,175.4,185.4
25,A2,1,25,0.4366159609121187,174.64638436484748,1,Neuenkirch-West,86.0,1,69.4,6,100.64638436484748,74.0,356.0,116.0,185.4,195.4
26,A2,1,26,0.5958156533996027,238.32626135984108,2,Bellinzona-Nord,233.0,4,158.6,15,17.326261359841084,221.0,209.0,0.0,158.6,168.6
27,A2,1,27,0.5657799315855341,226.31197263421365,2,Bellinzona-Nord,233.0,4,159.6,15,5.311972634213646,221.0,209.0,3.0,162.6,172.6
28,A2,1,28,0.5742918700872779,229.71674803491115,2,Bellinzona-Nord,233.0,4,160.6,16,8.716748034911149,221.0,209.0,3.0,163.6,173.6
29,A2,1,29,0.5775477805414189,231.01911221656755,2,Bellinzona-Nord,233.0,4,161.6,16,10.01911221656755,221.0,209.0,4.0,165.6,175.6
30,A2,1,30,0.885496568156683,354.1986272626732,2,Bellinzona-Nord,233.0,4,162.6,16,133.1986272626732,221.0,209.0,6.0,168.6,178.6
31,A2,1,31,0.4268452970507692,170.73811882030768,1,Neuenkirch-West,86.0,1,75.4,7,96.73811882030768,74.0,356.0,120.0,195.4,205.4
32,A2,1,32,0.40779630876712325,163.1185235068493,1,Neuenkirch-West,86.0,1,76.4,7,89.1185235068493,74.0,356.0,129.0,205.4,215.4
33,A2,1,33,0.353520908915382,141.40836356615281,1,Neuenkirch-West,86.0,1,77.4,7,67.40836356615281,74.0,356.0,138.0,215.4,225.4
34,A2,1,34,0.6108762960635892,244.35051842543567,2,Bellinzona-Nord,233.0,4,166.6,16,23.350518425435666,221.0,209.0,6.0,172.6,182.6
35,A2,1,35,0.7032150126897605,281.2860050759042,2,Bellinzona-Nord,233.0,4,167.6,16,60.2860050759042,221.0,209.0,6.0,173.6,183.6
