autoroute,nom,sens,pk,has_existing_charger,existing_chargers_model,bornes_solution,new_installation,ev_providers
A13,Kriessern-Süd,-1,10.0,False,0,0,False,
A13,Rheintal-Ost,-1,39.0,False,0,0,False,
A13,Heidiland,-1,58.0,True,6,6,False,GoFast + IONITY
A13,Apfelwuhr,-1,65.0,False,0,0,False,
A13,Viamala,-1,100.0,True,16,16,False,GoFast
A13,Rofla,-1,118.0,False,0,1,True,
A13,Isola,-1,147.0,False,0,0,False,
A13,Ghiffa,-1,153.0,False,0,0,False,
A13,Campagnola-Sud,-1,183.0,False,0,0,False,
A13,Kriessern-Nord,1,10.0,False,0,10,True,
A13,Rheintal-West,1,39.0,False,0,0,False,
A13,Heidiland,1,58.0,True,6,6,False,GoFast + IONITY
A13,Apfelwuhr,1,65.0,False,0,0,False,
A13,Viamala,1,100.0,True,16,16,False,GoFast
A13,San Bernardino-Nord,1,138.0,False,0,0,False,
A13,Isola,1,147.0,False,0,0,False,
A13,Ghiffa,1,153.0,False,0,2,True,
A13,Campagnola-Nord,1,183.0,False,0,2,True,
A2,Pratteln-Nord,-1,12.0,False,0,5,True,
A2,Sonnenberg-Ost,-1,23.0,False,0,0,False,
A2,Mühlematt-Ost,-1,28.0,False,0,0,False,
A2,Eggberg,-1,39.0,True,1,1,False,
A2,Gunzgen-Nord,-1,45.0,False,0,8,True,
A2,Knutwil-Nord,-1,70.0,False,0,4,True,
A2,Kirchbühl,-1,81.0,False,0,0,False,
A2,Neuenkirch-Ost,-1,86.0,True,4,4,False,GoFast
A2,Gotthard-Ost,-1,139.0,False,0,4,True,
A2,Erstfeld,-1,144.0,False,0,0,False,
A2,Wiler,-1,156.0,False,0,2,True,
A2,San Gottardo-Sud Stalvedro,-1,183.0,False,0,2,True,
A2,Lavorgo,-1,201.0,False,0,0,False,
A2,Giornico/Personico,-1,209.0,False,0,0,False,
A2,Moleno-Nord,-1,225.0,False,0,5,True,
A2,Bellinzona-Sud,-1,238.0,True,4,4,False,Move
A2,Sasso/Robasacco-Sud,-1,245.0,False,0,0,False,
A2,Agno/Muzzano-Nord,-1,263.0,False,0,0,False,
A2,Riva San Vitale-Sud,-1,278.0,False,0,0,False,
A2,Coldrerio-Est,-1,284.0,True,5,5,False,GoFast
A2,Basel-Nord/Weil,-1,442.0,False,0,0,False,
A2,Pratteln-Süd,1,12.0,False,0,8,True,
A2,Sonnenberg-West,1,23.0,False,0,6,True,
A2,Mühlematt-West,1,28.0,False,0,3,True,
A2,Teufengraben,1,40.0,True,1,1,False,
A2,Gunzgen-Süd,1,46.0,False,0,0,False,
A2,Knutwil-Süd,1,71.0,False,0,3,True,
A2,Inseli,1,79.0,False,0,2,True,
A2,Neuenkirch-West,1,86.0,True,1,1,False,
A2,Gotthard-West,1,139.0,False,0,4,True,
A2,Amsteg,1,148.0,False,0,0,False,
A2,Wiler,1,156.0,False,0,0,False,
A2,Wassen,1,158.0,False,0,2,True,
A2,San Gottardo-Sud Ambri-Piotta,1,185.0,False,0,4,True,
A2,Lavorgo,1,201.0,False,0,2,True,
A2,Bodio/Personico,1,212.0,False,0,1,True,
A2,Moleno-Sud,1,225.0,False,0,4,True,
A2,Bellinzona-Nord,1,233.0,True,4,4,False,Move
A2,Sasso/Cadenazzo-Nord,1,243.0,False,0,0,False,
A2,Agno/Muzzano-Sud,1,263.0,False,0,0,False,
A2,Riva San Vitale-Nord,1,278.0,False,0,3,True,
A2,Coldrerio-Ovest,1,283.0,False,0,1,True,
A2,Basel-Nord/Weil,1,442.0,False,0,0,False,
A8,Därlingen,-1,15.0,False,0,6,True,
A8,Iseltwald-Süd,-1,31.0,False,0,10,True,
A8,Iseltwald-Nord,1,31.0,False,0,10,True,
